"lockdown_duration","c_star_multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
5,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
5,0.2,1892.64926911052,1813.81574041946,1827.15852614648,78.8335286910651,65.4907429640434,FALSE,4
5,0.4,2271.12164436446,2195.34965361999,2205.63090140042,75.7719907444657,65.4907429640425,FALSE,4
5,0.6,2649.5940196184,2573.82202887393,2584.10327665436,75.7719907444648,65.4907429640411,FALSE,4
5,0.8,3028.06639487234,2962.60524107929,2962.57565190829,65.4611537930441,65.490742964043,TRUE,4
5,1,3406.53877012627,3341.07761633323,3341.04802716223,65.4611537930459,65.4907429640411,TRUE,4
5,1.2,3785.01114538021,3719.54999158716,3719.52040241617,65.4611537930509,65.4907429640416,TRUE,4
5,1.4,4163.48352063415,4098.0223668411,4097.99277767011,65.4611537930459,65.4907429640398,TRUE,4
5,1.6,4541.95589588809,4476.49474209504,4476.46515292405,65.4611537930505,65.4907429640443,TRUE,4
5,1.8,4920.42827114203,4854.96711734899,4854.93752817799,65.4611537930432,65.4907429640407,TRUE,4
5,2,5298.90064639597,5233.43949260292,5233.40990343193,65.4611537930514,65.4907429640434,TRUE,4
10,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
10,0.2,2365.44955348249,2289.67756273802,2299.95881051844,75.7719907444653,65.4907429640425,FALSE,4
10,0.4,3216.72221310839,3151.26105931534,3151.23147014435,65.4611537930514,65.4907429640452,TRUE,4
10,0.6,4067.99487273429,4002.53371894125,4002.50412977025,65.461153793045,65.4907429640425,TRUE,4
10,0.8,4919.2675323602,4853.80637856715,4853.77678939616,65.4611537930487,65.4907429640389,TRUE,4
10,1,5770.5401919861,5705.07903819306,5705.04944902206,65.4611537930432,65.4907429640416,TRUE,4
10,1.2,6621.812851612,6556.35169781896,6556.32210864797,65.4611537930423,65.490742964037,TRUE,4
10,1.4,7473.08551123791,7407.62435744486,7407.59476827387,65.4611537930496,65.490742964048,TRUE,4
10,1.6,8324.35817086382,8258.89701707077,8258.86742789977,65.4611537930487,65.4907429640425,TRUE,4
10,1.8,9175.63083048972,9110.16967669667,9110.14008752567,65.4611537930505,65.4907429640425,TRUE,4
10,2,10026.9034901156,9961.44233632257,9961.41274715158,65.4611537930523,65.490742964048,TRUE,4
15,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
15,0.2,2837.9200577552,2762.14806701073,2772.42931479115,75.7719907444666,65.490742964043,FALSE,4
15,0.4,4161.66322165381,4096.20206786077,4096.17247868977,65.4611537930423,65.4907429640389,TRUE,4
15,0.6,5485.40638555243,5419.94523175938,5419.91564258839,65.4611537930523,65.4907429640416,TRUE,4
15,0.8,6809.14954945104,6743.68839565799,6743.658806487,65.4611537930496,65.4907429640434,TRUE,4
15,1,8132.89271334965,8067.4315595566,8067.40197038561,65.4611537930505,65.4907429640425,TRUE,4
15,1.2,9456.63587724827,9391.17472345523,9391.14513428423,65.461153793045,65.4907429640443,TRUE,4
15,1.4,10780.3790411469,10714.9178873538,10714.8882981828,65.4611537930487,65.4907429640407,TRUE,4
15,1.6,12104.1222050455,12038.6610512524,12038.6314620815,65.4611537930541,65.4907429640461,TRUE,4
15,1.8,13427.8653689441,13362.4042151511,13362.3746259801,65.4611537930505,65.4907429640334,TRUE,4
15,2,14751.6085328427,14686.1473790497,14686.1177898787,65.4611537930559,65.4907429640425,TRUE,4
20,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
20,0.2,3310.05272145991,3244.59156766687,3244.56197849587,65.4611537930482,65.4907429640425,TRUE,4
20,0.4,5105.92854906324,5040.4673952702,5040.4378060992,65.4611537930441,65.4907429640398,TRUE,4
20,0.6,6901.80437666657,6836.34322287352,6836.31363370253,65.4611537930468,65.4907429640389,TRUE,4
20,0.8,8697.6802042699,8632.21905047686,8632.18946130587,65.461153793045,65.4907429640352,TRUE,4
20,1,10493.5560318732,10428.0948780802,10428.0652889092,65.4611537930487,65.4907429640443,TRUE,4
20,1.2,12289.4318594766,12223.9707056835,12223.9411165125,65.4611537930559,65.4907429640516,TRUE,4
20,1.4,14085.3076870799,14019.8465332868,14019.8169441158,65.4611537930432,65.490742964037,TRUE,4
20,1.6,15881.1835146832,15815.7223608902,15815.6927717192,65.4611537930414,65.4907429640498,TRUE,4
20,1.8,17677.0593422866,17611.5981884935,17611.5685993225,65.4611537930723,65.490742964037,TRUE,4
20,2,19472.9351698899,19407.4740160968,19407.4444269258,65.4611537930505,65.4907429640516,TRUE,4
25,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
25,0.2,3781.83928740337,3716.37813361032,3716.34854443932,65.4611537930505,65.4907429640457,TRUE,4
25,0.4,6049.50168095014,5984.0405271571,5984.01093798611,65.461153793045,65.490742964038,TRUE,4
25,0.6,8317.16407449693,8251.70292070388,8251.67333153289,65.4611537930487,65.4907429640443,TRUE,4
25,0.8,10584.8264680437,10519.3653142507,10519.3357250797,65.4611537930505,65.4907429640425,TRUE,4
25,1,12852.4888615905,12787.0277077974,12786.9981186264,65.4611537930359,65.4907429640443,TRUE,4
25,1.2,15120.1512551373,15054.6901013442,15054.6605121732,65.4611537930559,65.4907429640443,TRUE,4
25,1.4,17387.8136486841,17322.352494891,17322.32290572,65.4611537930432,65.490742964037,TRUE,4
25,1.6,19655.4760422308,19590.0148884378,19589.9852992668,65.4611537930396,65.490742964048,TRUE,4
25,1.8,21923.1384357776,21857.6772819846,21857.6476928136,65.461153793065,65.490742964048,TRUE,4
25,2,24190.8008293244,24125.3396755313,24125.3100863603,65.4611537930687,65.4907429640771,TRUE,4
30,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
30,0.2,4253.2712968765,4187.81014308346,4187.78055391246,65.4611537930487,65.4907429640416,TRUE,4
30,0.4,6992.36569989642,6926.90454610338,6926.87495693238,65.4611537930396,65.4907429640416,TRUE,4
30,0.6,9731.46010291634,9665.99894912329,9665.9693599523,65.4611537930487,65.4907429640352,TRUE,4
30,0.8,12470.5545059363,12405.0933521432,12405.0637629722,65.4611537930541,65.4907429640407,TRUE,4
30,1,15209.6489089562,15144.1877551631,15144.1581659922,65.4611537930396,65.4907429640189,TRUE,4
30,1.2,17948.7433119761,17883.2821581831,17883.2525690121,65.4611537930505,65.4907429640298,TRUE,4
30,1.4,20687.837714996,20622.376561203,20622.346972032,65.4611537930177,65.4907429640334,TRUE,4
30,1.6,23426.932118016,23361.4709642229,23361.4413750519,65.461153793065,65.4907429640734,TRUE,4
30,1.8,26166.0265210359,26100.5653672428,26100.5357780718,65.461153793065,65.490742964048,TRUE,4
30,2,28905.1209240558,28839.6597702627,28839.6301810917,65.4611537930723,65.4907429640662,TRUE,4
35,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
35,0.2,4724.3400847469,4658.87893095385,4658.84934178286,65.4611537930459,65.4907429640407,TRUE,4
35,0.4,7934.50327563721,7869.04212184417,7869.01253267318,65.461153793045,65.4907429640389,TRUE,4
35,0.6,11144.6664665275,11079.2053127345,11079.1757235635,65.4611537930487,65.4907429640498,TRUE,4
35,0.8,14354.8296574179,14289.3685036248,14289.3389144538,65.4611537930505,65.4907429640443,TRUE,4
35,1,17564.9928483082,17499.5316945151,17499.5021053441,65.4611537930359,65.490742964048,TRUE,4
35,1.2,20775.1560391985,20709.6948854054,20709.6652962344,65.4611537930577,65.4907429640334,TRUE,4
35,1.4,23985.3192300888,23919.8580762957,23919.8284871248,65.4611537930577,65.4907429640261,TRUE,4
35,1.6,27195.4824209791,27130.0212671861,27129.9916780151,65.4611537930796,65.4907429640552,TRUE,4
35,1.8,30405.6456118694,30340.1844580764,30340.1548689054,65.4611537930359,65.4907429640043,TRUE,4
35,2,33615.8088027598,33550.3476489667,33550.3180597957,65.4611537930468,65.4907429640443,TRUE,4
40,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
40,0.2,5195.03677443199,5129.57562063894,5129.54603146795,65.4611537930477,65.4907429640434,TRUE,4
40,0.4,8875.8966550074,8810.43550121436,8810.40591204336,65.461153793045,65.4907429640443,TRUE,4
40,0.6,12556.7565355828,12491.2953817898,12491.2657926188,65.4611537930523,65.4907429640389,TRUE,4
40,0.8,16237.6164161582,16172.1552623652,16172.1256731942,65.4611537930687,65.4907429640534,TRUE,4
40,1,19918.4762967336,19853.0151429406,19852.9855537696,65.4611537930396,65.4907429640225,TRUE,4
40,1.2,23599.336177309,23533.875023516,23533.845434345,65.4611537930723,65.4907429640552,TRUE,4
40,1.4,27280.1960578844,27214.7349040914,27214.7053149204,65.4611537930214,65.4907429640334,TRUE,4
40,1.6,30961.0559384598,30895.5947846668,30895.5651954958,65.4611537930396,65.4907429640589,TRUE,4
40,1.8,34641.9158190353,34576.4546652422,34576.4250760712,65.4611537930468,65.4907429640589,TRUE,4
40,2,38322.7756996106,38257.3145458176,38257.2849566466,65.4611537930105,65.490742964008,TRUE,4
45,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
45,0.2,5665.35227275028,5599.89111895723,5599.86152978624,65.4611537930496,65.4907429640398,TRUE,4
45,0.4,9816.52765164397,9751.06649785093,9751.03690867993,65.4611537930468,65.4907429640407,TRUE,4
45,0.6,13967.7030305377,13902.2418767446,13902.2122875736,65.4611537930577,65.4907429640389,TRUE,4
45,0.8,18118.8784094314,18053.4172556383,18053.3876664673,65.4611537930614,65.4907429640552,TRUE,4
45,1,22270.0537883251,22204.592634532,22204.563045361,65.4611537930432,65.4907429640443,TRUE,4
45,1.2,26421.2291672188,26355.7680134257,26355.7384242547,65.4611537930505,65.4907429640552,TRUE,4
45,1.4,30572.4045461125,30506.9433923194,30506.9138031484,65.4611537930359,65.490742964048,TRUE,4
