"pattern","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","diim_sectors","overlap","c_star_gini"
"original",26967.3034635492,26901.8423097561,26901.8127205851,65.4611537930723,65.4907429640625,TRUE,"2,3,5,12,8",4,0.55847418057309
"concentrated_3",22263.0177086847,22189.6613971569,22197.5269657207,73.3563115278412,65.4907429640516,FALSE,"3,6,2,14,4",2,0.8
"concentrated_5",21016.5139941476,20947.750276893,20951.0232511836,68.7637172545546,65.4907429640334,FALSE,"3,12,6,2,15",2,0.666666666666667
"moderate_7",21326.5816746869,21272.3858863106,21261.0909317228,54.1957883762407,65.4907429640443,TRUE,"3,9,12,6,13",1,0.533333333333333
"moderate_10",37433.6522180729,37372.6048108247,37368.1614751088,61.0474072481593,65.4907429641025,TRUE,"2,3,10,9,12",3,0.333333333333333
"uniform",48531.3551466299,48467.7173867935,48465.8644036659,63.6377598363761,65.4907429639861,TRUE,"2,5,4,8,7",3,4.44089209850063e-16
"inverse",69921.5034016563,69857.8656418199,69856.0126586923,63.6377598363906,65.4907429640152,TRUE,"4,5,8,2,7",3,0.55847418057309
