"target_share","actual_share","pca_wins","pca_advantage"
0.12,0.12,FALSE,-28.6314913342649
0.12,0.12,FALSE,-19.9846888281645
0.12,0.12,FALSE,-42.0382876726617
0.12,0.12,FALSE,-26.7407390613371
0.12,0.12,FALSE,-29.0281594010085
0.12,0.12,FALSE,-6.78796466096537
0.12,0.12,FALSE,-31.4170334663686
0.12,0.12,FALSE,-3.15132951804844
0.12,0.12,FALSE,-11.6755800580395
0.12,0.12,FALSE,-0.844321303997276
0.12,0.12,FALSE,-15.2475330562957
0.12,0.12,FALSE,-3.47160257892028
0.12,0.12,FALSE,-4.4342681717535
0.12,0.12,FALSE,-9.82298926622389
0.12,0.12,FALSE,-5.32140545067523
0.12,0.12,FALSE,-16.904970002277
0.12,0.12,FALSE,-20.1104493029779
0.12,0.12,FALSE,-17.3350266361194
0.12,0.12,FALSE,-6.21843944380089
0.12,0.12,FALSE,-21.3828984614993
0.12,0.12,FALSE,-26.7964421966426
0.12,0.12,TRUE,7.90218428138905
0.12,0.12,TRUE,1.02187594437055
0.13,0.13,FALSE,-10.1351144861583
0.13,0.13,FALSE,-21.449365231405
0.13,0.13,FALSE,-12.8069264774349
0.13,0.13,FALSE,-14.7560033606933
0.13,0.13,FALSE,-17.3375096212112
0.13,0.13,FALSE,-21.1497116695537
0.13,0.13,FALSE,-25.3908074340761
0.13,0.13,FALSE,-2.25739521518335
0.13,0.13,TRUE,2.84688718700636
0.13,0.13,FALSE,-8.4977904296502
0.13,0.13,FALSE,-13.6093119179131
0.13,0.13,FALSE,-36.0555487626152
0.13,0.13,FALSE,-7.36319774720687
0.13,0.13,FALSE,-7.64491424061271
0.13,0.13,FALSE,-21.1831439571797
0.13,0.13,FALSE,-21.4149698611836
0.13,0.13,FALSE,-33.5995251203276
0.13,0.13,FALSE,-21.4828686222245
0.13,0.13,FALSE,-10.4021652270312
0.13,0.13,FALSE,-24.8801242042791
0.13,0.13,FALSE,-0.490545086435304
0.13,0.13,FALSE,-15.6021794144799
