"sim_id","q0_pca_share","q0_mean_ratio","q0_max_ratio","q0_top5_overlap","q0_pca_avg_rank","q0_pca_cv","q0_gini","q0_cv","reduction_diim","reduction_pca","pca_advantage","pca_wins","overlap"
1651,0.231399083361643,0.602130646353423,0.795052787153296,1,9.8,0.93624528970929,0.354362768816684,0.6455344816791,130.336985981212,182.006545904191,51.6695599229788,TRUE,4
1652,0.386474644931383,1.25984897523318,0.893806889813439,2,7.6,0.673810720251798,0.387803889472139,0.712283890305278,397.648720094217,389.121578324994,-8.52714176922382,FALSE,4
1653,0.575984206088931,2.71680543206244,2.60855939287549,4,3.6,0.451426351712614,0.351852587555593,0.711562929218055,512.798091094442,545.668953925047,32.8708628306049,TRUE,4
1654,0.446965220270699,1.61640908186454,0.988452295737048,3,5.6,0.264375336146859,0.3012955677312,0.545960321119972,1013.36685829786,756.11210083399,-257.254757463874,FALSE,4
1655,0.31318183053297,0.911978874338746,0.838526553798458,0,9.2,0.366168490562766,0.300862770448804,0.553116294648119,579.431449019758,555.337611244817,-24.0938377749408,FALSE,4
1656,0.29968292709831,0.855849267979733,0.91414156872042,1,9,0.699225551180969,0.309200371802324,0.566207591259655,412.353635608128,426.402081611475,14.0484460033476,TRUE,4
1657,0.349490971576874,1.0745153604526,0.850273072850173,2,7.6,0.529191393476629,0.316799015099543,0.573169966665027,765.349563033007,538.892003836183,-226.457559196824,FALSE,4
1658,0.162260336603112,0.387376517294584,0.66884408994069,1,11.8,1.02607526506937,0.318377822999366,0.580832960020363,245.537021317214,178.499321718737,-67.037699598477,FALSE,4
1659,0.306810027111748,0.885211959525005,1.00580142717059,1,8.2,0.56619331954704,0.285036532849186,0.521365720350052,438.656649747936,421.960293957025,-16.6963557909112,FALSE,4
1660,0.337121528928266,1.01714429911477,0.912906873728803,2,8,0.500949710505738,0.286920446236537,0.520837413226641,528.379019453881,506.196310401931,-22.182709051951,FALSE,4
1661,0.370618745973497,1.17772413335301,0.886545569549889,2,7.2,0.316891718358691,0.262594362901517,0.4757784625156,531.537394424238,586.982387518787,55.4449930945484,TRUE,4
1662,0.480557098872165,1.85027881920712,1.31515516822618,3,5.2,0.507202804440847,0.35481824673006,0.654506356575632,712.343613847595,741.50757847901,29.1639646314143,TRUE,4
1663,0.350501469411713,1.07929872941897,0.738253101441278,2,7.4,0.43985555647222,0.325583388683216,0.599620826686032,407.688585395765,382.800936976637,-24.8876484191278,FALSE,4
1664,0.343941445718168,1.04850837923963,0.870350975743222,2,7.8,0.681874950512117,0.394370074775316,0.731454030151913,499.675042693882,513.94303882352,14.267996129638,TRUE,4
1665,0.311876003809944,0.906452922835745,0.74180695100917,1,8.6,0.507458867131104,0.334332637277534,0.605339530851818,535.777444293359,503.795267198067,-31.9821770952913,FALSE,4
1666,0.284673007699938,0.795924131940276,0.863295509748112,1,9.4,0.635453512875152,0.28054420111557,0.517303662650233,333.40336274639,319.558755172398,-13.8446075739921,FALSE,4
1667,0.268148049871369,0.732793155293877,0.997677414420344,1,9.4,0.800781654069504,0.262084388161945,0.492454398753953,696.352600762999,633.276944649755,-63.0756561132439,FALSE,4
1668,0.0866049550393335,0.18963307391943,0.264784895576475,0,12.6,0.86028296225953,0.412782659280943,0.752341780990136,195.8791821382,95.405515995757,-100.473666142443,FALSE,3
1669,0.278030657182574,0.77020072929297,1.00364810074426,1,9,1.00278054714017,0.387541057053115,0.70388573277311,607.187294993259,300.538825778458,-306.648469214801,FALSE,3
1670,0.337230315688191,1.01763953201437,0.826365312816275,1,8.4,0.474354689057118,0.291028021990045,0.53588651883337,447.242564327797,433.381124085703,-13.8614402420935,FALSE,4
1671,0.446662445769744,1.61443025999236,1.33805473460029,3,5.6,0.404444037985217,0.286307641162565,0.528745637560705,648.748811545294,662.496313301912,13.7475017566176,TRUE,4
1672,0.476910130495411,1.82343477975242,1.34513139568318,3,4.6,0.378246814569424,0.298447130703997,0.543649669123249,612.296780322431,662.186151383539,49.8893710611082,TRUE,4
1673,0.275039183542791,0.758769790860896,0.633106254322946,1,9.2,0.50881917512824,0.352331544746949,0.63835690353018,366.977881629773,346.341220906648,-20.6366607231248,FALSE,4
1674,0.287591752739845,0.807379066275249,0.894950028359539,1,8.6,0.704279708259274,0.327414602122337,0.607587411339041,490.705293333835,477.659029057118,-13.0462642767161,FALSE,4
1675,0.333140009386012,0.999130294439421,0.80125840023712,2,7.6,0.61513011982535,0.361405725396134,0.660021828405837,649.845107235371,584.656137848797,-65.1889693865742,FALSE,3
1676,0.375491336638607,1.20251762279018,0.617068670111994,3,6,0.250824331560209,0.31691464348561,0.591452826490104,554.357464829598,542.470730070956,-11.886734758642,FALSE,4
1677,0.434009105806368,1.53362575355457,1.18766928682988,3,5.2,0.375581963612441,0.263774137789828,0.480290958148537,746.07983083406,757.571151672215,11.4913208381549,TRUE,4
1678,0.293271465810554,0.829940922498367,0.884319603532738,1,9.4,0.666911875151154,0.311762745326826,0.579958221069973,474.099073363519,518.500145209102,44.4010718455829,TRUE,4
1679,0.190323042325517,0.470120930382297,0.75792923438987,1,10.6,1.12593727294084,0.374088575187345,0.678102047757292,197.75650499537,174.610178957275,-23.1463260380951,FALSE,4
1680,0.408309304203892,1.38014441364341,1.08453133336647,3,6.4,0.708760536824375,0.414139136237016,0.780496876371457,271.358307432052,329.678587990336,58.3202805582841,TRUE,4
1681,0.365301754077573,1.15110371400718,0.665630085849281,2,6.6,0.227536456318406,0.272091177751703,0.507210440919634,496.852259505882,532.169133778792,35.3168742729104,TRUE,4
1682,0.428858903033735,1.50176166734178,0.939520021758498,3,6,0.557771316497753,0.447526260668221,0.834891715405906,405.730490186459,475.388051895523,69.6575617090639,TRUE,4
1683,0.371950199705768,1.18446084858721,0.972017380756524,3,7,0.549651055689942,0.278465757713138,0.503431102384331,747.336571986794,742.86015212832,-4.4764198584744,FALSE,4
1684,0.35048719830854,1.07923107102986,1.02156598100035,2,7.6,0.586361005593197,0.362857436289441,0.664623497028618,511.00093433186,496.769839577755,-14.2310947541046,FALSE,4
1685,0.30509158978335,0.878077125842333,0.877800901963195,2,8.8,0.813726628212451,0.343394770708059,0.621254072338116,813.946587544844,515.480660114925,-298.465927429919,FALSE,4
