"sim_id","c_star_mean","c_star_sd","c_star_max","c_star_gini","c_star_sum","q0_mean","q0_sd","q0_max","q0_gini","q0_sum","cstar_q0_cor","c_star_pca_share","q0_pca_share","lockdown_duration","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
136,1.03550823463566,0.489224909875225,1.57959357911478,0.250971151295272,15.532623519535,0.0135935047501634,0.00672425117072696,0.0235650067332258,0.273480713287073,0.203902571252451,0.166616215701291,0.366280272610456,0.29159443490824,57,264848.342978437,264401.779573969,264457.737633945,446.563404467946,390.605344492127,FALSE,4
137,0.886290723064556,0.515665220405934,1.57215808778771,0.319245115666492,13.2943608459683,0.00964538183403123,0.00736602969730078,0.0225214289721026,0.414715298469057,0.144680727510468,0.0344764624761395,0.378294669968844,0.46369448202055,73,421729.216272012,421335.369870932,421220.224835431,393.846401080082,508.991436580895,TRUE,3
138,0.905275884770281,0.401954197058122,1.59562403062597,0.242264139447116,13.5791382715542,0.0107842179020229,0.00598525031241686,0.0207105569989429,0.306042743272636,0.161763268530343,0.106864055316922,0.335733535427189,0.282554987440386,68,325347.091352798,324951.471201338,325037.194301584,395.620151460113,309.897051213251,FALSE,3
139,0.584036433862717,0.372217571470204,1.25510172380351,0.350434088874665,8.76054650794075,0.013131811717581,0.00718287984811021,0.0230292105301103,0.299170803353285,0.196977175763716,-0.157717724993209,0.360249540135054,0.31598661589154,29,91791.4917087719,91199.5929503561,91352.6583683958,591.898758415744,438.833340376077,FALSE,3
140,0.789937699646123,0.500867214844661,1.57790977598798,0.347382810633569,11.8490654946919,0.0129135899471392,0.00718380727870865,0.0228988868753954,0.303745369930813,0.193703849207088,-0.761910509297145,0.398789870257785,0.367649949738486,65,354630.170575995,354339.781881828,354220.771326801,290.388694167894,409.399249194597,TRUE,3
141,0.92519889780035,0.509618683641776,1.5969704505935,0.299019386328258,13.8779834670052,0.0124418243584314,0.00809311743910239,0.0235906146199257,0.35529257940573,0.18662736537647,0.242729199425232,0.377070305855429,0.318286432580873,15,85535.3097522848,84955.3373719091,85019.71265848,579.972380375722,515.597093804827,FALSE,4
142,0.837373745463959,0.423916944952473,1.46945706862669,0.274416934774609,12.5606061819594,0.012445352386567,0.00707543591646791,0.0220273735076874,0.313263880634567,0.186680285798505,0.414613687432551,0.337362518438167,0.424071976664466,59,258347.461391362,257537.652417918,257671.466830089,809.808973443578,675.994561272557,FALSE,3
143,0.615993125144557,0.398310199629863,1.26076147715112,0.353491781347397,9.23989687716836,0.0111052958380838,0.00719529007161239,0.0237220558374815,0.357736791023581,0.166579437571257,-0.132712232196804,0.209616027980882,0.279204699599275,65,130134.980868665,129508.131772765,129802.044212079,626.84909590063,332.936656586433,FALSE,3
144,0.735815810079268,0.485598879436686,1.39349693904057,0.360845726034131,11.037237151189,0.0104882134856855,0.00679805538814239,0.022625831881081,0.355611991361606,0.157323202285282,0.0475935755739605,0.366521512115117,0.20250704810155,63,212380.129594688,212064.110841192,212156.581922748,316.018753496057,223.547671940003,FALSE,3
145,0.822790942639308,0.548307039811602,1.5313092695878,0.362621139932475,12.3418641395896,0.0124331533023638,0.00718627851855534,0.0218260353872187,0.306896134212451,0.186497299535457,0.228778683179736,0.349188285873217,0.383675382125774,77,431622.20806712,430723.172673251,430959.210901331,899.035393868864,662.997165788431,FALSE,3
