"scenario","method","k","pct_reduction","sectors"
"Manpower","PCA (5-PC distance)",7,2.06125384971639,"57,17,1,69,40,62,54"
"Manpower","PCA (5-PC distance)",10,2.55397470876263,"57,17,1,69,40,62,54,53,60,15"
"Manpower","PCA (5-PC distance)",15,4.02889124507046,"57,17,1,69,40,62,54,53,60,15,70,78,36,82,84"
"Manpower","PCA (5-PC distance)",20,4.52894806242932,"57,17,1,69,40,62,54,53,60,15,70,78,36,82,84,25,71,27,47,26"
"Manpower","PCA (5-PC distance)",30,5.52753251182605,"57,17,1,69,40,62,54,53,60,15,70,78,36,82,84,25,71,27,47,26,50,68,35,66,74,67,58,92,83,77"
"Manpower","DIIM",3,2.36995699416983,"54,69,70"
"Manpower","DIIM",5,3.43084370917914,"54,69,70,98,53"
"Manpower","DIIM",7,4.33542146167717,"54,69,70,98,53,99,82"
"Manpower","DIIM",10,5.18565082088854,"54,69,70,98,53,99,82,100,78,77"
"Manpower","DIIM",15,6.14972055578289,"54,69,70,98,53,99,82,100,78,77,71,84,26,57,55"
"Manpower","DIIM",20,6.94545062679397,"54,69,70,98,53,99,82,100,78,77,71,84,26,57,55,62,92,83,65,51"
"Manpower","DIIM",30,7.78920260617757,"54,69,70,98,53,99,82,100,78,77,71,84,26,57,55,62,92,83,65,51,60,74,56,47,68,66,58,25,95,101"
"Manpower","Sensitivity",3,2.48885729866435,"54,69,98"
"Manpower","Sensitivity",5,3.58553977243093,"54,69,98,70,99"
"Manpower","Sensitivity",7,4.42180807291046,"54,69,98,70,99,100,82"
"Manpower","Sensitivity",10,5.27105761818771,"54,69,98,70,99,100,82,53,77,55"
"Manpower","Sensitivity",15,6.29156874586358,"54,69,98,70,99,100,82,53,77,55,84,51,71,65,26"
"Manpower","Sensitivity",20,6.98959748610542,"54,69,98,70,99,100,82,53,77,55,84,51,71,65,26,78,83,62,52,60"
"Manpower","Sensitivity",30,7.94723997735131,"54,69,98,70,99,100,82,53,77,55,84,51,71,65,26,78,83,62,52,60,92,101,56,58,85,57,107,75,95,68"
"Manpower","Network Centrality",3,1.93211562248505,"54,69,78"
"Manpower","Network Centrality",5,2.74811349444799,"54,69,78,71,70"
"Manpower","Network Centrality",7,3.50183054936286,"54,69,78,71,70,17,98"
"Manpower","Network Centrality",10,3.64483478726747,"54,69,78,71,70,17,98,95,50,22"
"Manpower","Network Centrality",15,4.82997069424743,"54,69,78,71,70,17,98,95,50,22,84,82,53,47,65"
"Manpower","Network Centrality",20,5.31612865623483,"54,69,78,71,70,17,98,95,50,22,84,82,53,47,65,57,97,83,62,56"
"Manpower","Network Centrality",30,6.26263144081229,"54,69,78,71,70,17,98,95,50,22,84,82,53,47,65,57,97,83,62,56,24,26,68,7,94,60,74,66,55,67"
